param_clf__C,param_tfidf__min_df,param_tfidf__ngram_range,mean_test_score,std_test_score,rank_test_score
0.5,1,"(1, 2)",0.8245403377110695,0.0,1
2.0,1,"(1, 2)",0.8185003768109579,0.0,2
1.0,1,"(1, 2)",0.8165843559243043,0.0,3
0.1,1,"(1, 2)",0.814153081222157,0.0,4
0.1,3,"(1, 2)",0.8018923538218168,0.0,5
0.1,2,"(1, 2)",0.8011084644200411,0.0,6
0.5,3,"(1, 2)",0.7949142022635999,0.0,7
0.1,1,"(1, 1)",0.7924523457612535,0.0,8
1.0,3,"(1, 2)",0.7916752304481255,0.0,9
0.5,3,"(1, 1)",0.7913479116042597,0.0,10
0.5,2,"(1, 2)",0.786121627052175,0.0,11
0.5,1,"(1, 1)",0.7842407458370486,0.0,12
2.0,2,"(1, 2)",0.7831438851799527,0.0,13
0.1,3,"(1, 1)",0.7811882580577842,0.0,14
0.5,2,"(1, 1)",0.780286594667729,0.0,15
2.0,3,"(1, 2)",0.7796654209290597,0.0,16
1.0,2,"(1, 2)",0.7793216563909491,0.0,17
0.1,2,"(1, 1)",0.7768888160240345,0.0,18
1.0,3,"(1, 1)",0.7765744703928981,0.0,19
1.0,1,"(1, 1)",0.7757650832503279,0.0,20
1.0,2,"(1, 1)",0.7709236909551128,0.0,21
2.0,1,"(1, 1)",0.7697909939676103,0.0,22
2.0,2,"(1, 1)",0.7543415285917973,0.0,23
2.0,3,"(1, 1)",0.7444859481419256,0.0,24
