kelas,rank,fitur,koef
Negatif,1,fitnah,3.119
Negatif,2,penjara,2.392
Negatif,3,pak jokowi,2.267
Negatif,4,tuduh,2.2
Negatif,5,benci,2.139
Negatif,6,minta,1.982
Negatif,7,bilang,1.868
Negatif,8,cs,1.807
Negatif,9,kata,1.64
Negatif,10,pk jokowi,1.537
Negatif,11,percaya,1.461
Negatif,12,bui,1.355
Negatif,13,cari,1.349
Negatif,14,panci cs,1.341
Negatif,15,hoax,1.308
Netral,1,gila,1.354
Netral,2,panci,1.252
Netral,3,andi,1.204
Netral,4,gogon,1.139
Netral,5,bu,1.127
Netral,6,jokowi hati,1.121
Netral,7,roy,0.982
Netral,8,ana,0.951
Netral,9,bosen,0.947
Netral,10,percaya polisi,0.93
Netral,11,bahas,0.911
Netral,12,rismon tidak,0.899
Netral,13,idola,0.872
Netral,14,keren,0.852
Netral,15,muak,0.845
Positif,1,palsu,4.653
Positif,2,ijazah,3.301
Positif,3,bohong,3.154
Positif,4,jokowi,2.665
Positif,5,mulyono,2.093
Positif,6,foto,1.617
Positif,7,kalau memang,1.463
Positif,8,skripsi,1.461
Positif,9,ijazah palsu,1.348
Positif,10,ijasahnya,1.296
Positif,11,jujur,1.287
Positif,12,berani,1.26
Positif,13,kalau,1.204
Positif,14,yakin,1.171
Positif,15,scan,1.162
