kelas,rank,fitur,koef
Negatif,1,fitnah,3.11
Negatif,2,penjara,2.63
Negatif,3,tuduh,2.532
Negatif,4,benci,2.269
Negatif,5,pak jokowi,1.861
Negatif,6,bilang,1.858
Negatif,7,cs,1.852
Negatif,8,gerombol,1.757
Negatif,9,bui,1.696
Negatif,10,minta,1.619
Negatif,11,pk jokowi,1.596
Negatif,12,nuduh,1.566
Negatif,13,tuntut,1.556
Negatif,14,hoax,1.545
Negatif,15,percaya,1.475
Netral,1,panci,1.208
Netral,2,hidup,1.105
Netral,3,gila,1.085
Netral,4,idola,1.075
Netral,5,mulu,1.068
Netral,6,senyum,1.038
Netral,7,dukung jokowi,1.016
Netral,8,jokowi hati,0.931
Netral,9,seha,0.902
Netral,10,andi,0.874
Netral,11,hilang,0.869
Netral,12,seru,0.853
Netral,13,kata yakin,0.851
Netral,14,goreng,0.837
Netral,15,jos,0.83
Positif,1,palsu,4.253
Positif,2,ijazah,2.872
Positif,3,bohong,2.851
Positif,4,jokowi,2.422
Positif,5,mulyono,1.831
Positif,6,ijaza,1.574
Positif,7,yakin,1.554
Positif,8,tunjuk ijazah,1.515
Positif,9,skripsi,1.507
Positif,10,foto,1.452
Positif,11,jokowi harus,1.446
Positif,12,rektor,1.434
Positif,13,ijasahnya,1.359
Positif,14,aspal,1.342
Positif,15,kalau memang,1.331
